"",PLAYER_ID,PLAYER_NAME,PTS,AST,REB,BLK,STL,PF,TOV,PTS_diff,AST_diff,REB_diff,BLK_diff,STL_diff,PF_diff,TOV_diff,overall_avg_diff
139,1631110,Jeremy Sochan,10.405661,2.5801888,5.6415095,0.4481132,0.754717,2.29717,1.5990566,5.3788867,1.408496,2.531508,0.5450371,0.7292643,1.4694057,1.1170537,1.8828074
140,1629636,Darius Garland,19.893982,7.1891117,2.7707736,0.12320917,1.2206304,1.8882521,3.0057306,5.6877866,2.478251,1.4072894,0.27342212,0.89696896,1.0734291,1.3887482,1.8865565
141,1642259,Alex Sarr,14.564815,2.5555556,6.9814816,1.6944444,0.7222222,2.1388888,1.7037038,5.167041,1.3246827,2.813007,1.2023315,0.6256894,1.1084632,0.9657165,1.8867044
142,1629651,Nic Claxton,10.907515,2.0722544,7.855491,1.7023121,0.7398844,2.4046242,1.1618497,4.5362744,1.3108953,3.1233234,1.3892488,0.7319509,1.2895173,0.83755296,1.8883947
143,1626174,Christian Wood,15.659292,1.7522124,8.079646,0.96460176,0.59292036,2.2123895,1.6681416,5.2200265,1.3052087,3.007824,0.8341394,0.6833731,1.1051415,1.0645429,1.8886081
144,1628384,OG Anunoby,16.631578,2.2229102,5.027864,0.7306501,1.5913312,2.5944273,1.7182662,5.9380856,1.1746651,1.9904165,0.71388733,1.1379994,1.2067764,1.0598257,1.888808
145,1642276,Kel'el Ware,10.206897,0.76724136,8.215517,1.0775862,0.6810345,1.6810344,0.88793105,5.2505865,0.77696306,3.8747146,0.9128466,0.6603616,1.0167227,0.7629299,1.8935893
146,1642273,Kyshawn George,11.171171,3.3873873,4.675676,0.7927928,1.027027,3.2702703,1.945946,5.0286374,1.7884802,2.0847955,0.7722502,0.8370096,1.4380778,1.3085625,1.8939732
147,203468,CJ McCollum,20.971989,4.7086835,4.0728292,0.46218488,0.92436975,1.9887955,1.8991597,6.3549,1.734422,1.6932652,0.5453863,0.76278627,1.0913081,1.1169903,1.8998654
148,1630217,Desmond Bane,18.087431,3.8251367,4.535519,0.39344263,0.9836066,2.5081968,1.8934426,6.0570602,1.7407942,1.8501538,0.49055582,0.813011,1.3088467,1.0604697,1.9029845
149,1627763,Malcolm Brogdon,17.071749,4.9641256,4.502242,0.2690583,0.735426,1.7085202,1.7533633,6.130914,2.0111363,2.0339139,0.38067204,0.7201491,0.97873884,1.0747102,1.9043192
150,203924,Jerami Grant,19.481968,2.4983606,3.9934425,0.86557376,0.79016393,2.327869,1.8721311,6.508045,1.3193398,1.7831032,0.79447097,0.7502621,1.1295792,1.0678802,1.9075258
151,1630552,Jalen Johnson,13.619658,3.7564104,7.2094016,0.61538464,0.982906,1.8333334,1.8333334,4.911717,1.6019491,3.203769,0.62291414,0.83915925,1.1017867,1.1168203,1.9140165
152,1631105,Jalen Duren,12.592,2.032,10.276,0.916,0.684,3.0,1.76,4.5219893,1.3170426,3.5861695,0.8914356,0.67987615,1.3825967,1.0295966,1.9155295
153,204001,Kristaps Porziņģis,20.56,2.2145455,7.701818,1.5927273,0.7163636,2.8145454,1.5527272,5.367128,1.2519106,2.6180863,1.0710312,0.71289027,1.307626,1.0843686,1.9161489
154,1629639,Tyler Herro,20.443396,4.3144655,5.128931,0.20754717,0.754717,1.3805032,2.3396227,6.171677,1.8860203,2.0267742,0.34911746,0.7437558,1.0009071,1.2730093,1.9216088
155,1630581,Josh Giddey,14.563694,6.3757963,7.6178346,0.48089173,0.87261146,1.6560509,2.77707,4.4586716,2.6231627,2.6668613,0.55354744,0.71661806,1.1621674,1.2933028,1.9249046
156,202696,Nikola Vučević,18.691765,3.4541175,10.635294,0.75764704,0.80235296,2.2470589,1.6870588,5.3019733,1.5260164,2.9578853,0.7802874,0.7598596,1.0810646,1.0782928,1.9264829
157,1629023,P.J. Washington,13.362163,2.2324324,6.037838,1.0513513,0.9864865,2.4378378,1.654054,5.704597,1.3355771,2.4843292,0.89190066,0.81822586,1.2492441,1.0127078,1.9280832
158,1629028,Deandre Ayton,15.826865,1.4716418,10.122388,0.8925373,0.6985075,2.483582,1.6268656,5.5583687,0.9730731,3.2536302,0.7519299,0.6862819,1.269184,1.0164942,1.9298518
159,1630703,Scoot Henderson,13.328244,5.259542,3.076336,0.19847329,0.90076333,2.946565,3.0610688,5.575182,2.4051242,1.6014271,0.33981255,0.73433673,1.3803024,1.5088817,1.9350096
160,1628970,Miles Bridges,18.569277,3.3433735,6.8192773,0.67168677,0.76506025,1.9427711,1.8313253,5.8030653,1.688226,2.456155,0.6827011,0.6956788,1.074186,1.1507149,1.9358181
161,1642264,Stephon Castle,15.328,5.112,4.128,0.296,1.056,2.488,2.616,5.440089,2.3356454,1.9505439,0.37288907,0.90020066,1.2251313,1.3404213,1.937846
162,202689,Kemba Walker,14.966292,4.0674157,3.3370786,0.23595506,0.85393256,1.224719,1.5730337,6.9418664,1.820504,1.7732426,0.36823976,0.7517287,0.90625924,1.0194201,1.9401801
163,1626156,D'Angelo Russell,16.568047,5.988166,2.9615386,0.3846154,0.92899406,1.8905325,2.295858,6.351115,2.3045237,1.4993516,0.4691427,0.72065526,1.0540679,1.1976042,1.9423515
164,1642851,Kon Knueppel,18.907408,3.5555556,5.5,0.24074075,0.6851852,2.148148,2.2037036,6.218237,1.6464659,2.3246524,0.36308894,0.71797645,1.1888702,1.1818173,1.9487296
165,1630591,Jalen Suggs,12.54918,3.6065574,3.418033,0.61885244,1.4303279,2.6885245,2.2704918,5.644228,1.7433778,1.641926,0.63792276,1.0543197,1.5868148,1.345592,1.9505972
166,201942,DeMar DeRozan,23.413712,5.07565,4.2765956,0.39243498,1.002364,2.1678486,1.7872341,6.5446925,1.936974,1.7312112,0.48525694,0.80364126,1.0550357,1.1523967,1.9584582
167,1631114,Jalen Williams,18.074688,4.419087,4.60166,0.560166,1.3568465,2.3983402,1.8506224,5.952622,1.9711928,1.8063697,0.5955391,1.1012256,1.2407825,1.0578743,1.960801
168,1641706,Brandon Miller,18.928057,2.8633094,4.5035973,0.6906475,0.971223,2.6115108,2.2446043,6.3382792,1.3357612,2.0492866,0.67510855,0.8092252,1.1453716,1.3736718,1.9609576
169,1628991,Jaren Jackson Jr.,19.591177,1.6294118,5.8705883,1.9764706,1.1029412,3.5647058,1.9764706,6.232479,1.0318904,2.101807,1.3277571,0.8403026,1.1582313,1.0650418,1.9653584
170,1642845,VJ Edgecombe,14.88,4.12,5.4,0.5,1.48,3.02,1.82,6.30302,1.6446984,1.8348666,0.58398324,1.1053115,1.3708378,0.9957846,1.976929
171,1627742,Brandon Ingram,22.621622,5.118243,5.381757,0.5878378,0.7263514,2.2027028,2.7601352,6.3197536,1.8101592,1.7742838,0.6273062,0.74676436,1.1229067,1.4502534,1.9787753
172,1628389,Bam Adebayo,19.020409,3.8903062,9.658163,0.82653064,1.2015306,2.357143,2.3367348,5.1234,1.7723228,2.8396647,0.8000394,0.85481876,1.1722838,1.290348,1.9789826
173,202322,John Wall,16.337837,6.1216216,2.9864864,0.5810811,0.9324324,1.418919,2.9864864,5.8795834,2.2223833,1.7835087,0.6165395,0.78957564,1.1410688,1.4412006,1.9819797
174,203897,Zach LaVine,23.817648,4.144118,4.394118,0.2882353,0.7735294,1.9882352,2.6529412,6.8382807,1.7270796,1.8149477,0.40187585,0.67713153,1.0776237,1.3531271,1.9842951
175,203994,Jusuf Nurkić,11.785942,3.3322685,9.846645,0.8083067,1.0095847,3.1789138,2.2619808,4.933407,1.8143237,3.4150352,0.7094975,0.743274,1.1394439,1.1628857,1.9882666
176,1630560,Cam Thomas,15.219917,2.153527,2.4937758,0.14522822,0.48547718,1.3858922,1.4771785,7.716618,1.435117,1.8650252,0.291684,0.58924246,1.1201822,0.98403436,2.000272
177,1627783,Pascal Siakam,22.259901,4.5321784,7.3985147,0.5074257,1.0,2.8019803,2.0816832,5.9363112,1.8483168,2.3760645,0.61932236,0.82495517,1.2892774,1.1305948,2.0035489
178,203078,Bradley Beal,22.446566,4.8511453,4.1297708,0.47709924,1.0038168,2.3625953,2.6946564,6.6444526,1.7991825,1.7669995,0.54710793,0.80705607,1.1288136,1.3353429,2.0041366
179,1629673,Jordan Poole,17.872063,3.926893,2.7232375,0.29765013,0.88772845,2.6579635,2.4412532,7.05509,1.742624,1.4205749,0.40198496,0.8395687,1.2937397,1.2897729,2.0061936
180,1630178,Tyrese Maxey,20.824324,4.7405405,3.1513515,0.3972973,1.0594594,2.0324323,1.554054,6.8496747,2.0461793,1.6481937,0.4817123,0.83424985,1.0894918,1.1013861,2.0072696
181,1629645,Kevin Porter Jr.,15.137096,5.403226,4.439516,0.29032257,1.2459677,2.2258065,2.798387,5.7973866,2.2906632,1.9902622,0.42018786,0.96463144,1.238714,1.3688134,2.0100942
182,1630596,Evan Mobley,16.604502,3.0675242,8.926045,1.6109325,0.83601284,2.3987138,1.9356914,4.8981147,1.6203789,3.129632,1.3316835,0.7639745,1.1876923,1.1500181,2.011642
183,1630578,Alperen Sengun,16.671686,4.3644576,8.665663,0.8795181,1.0572289,3.1415663,2.5271084,5.1997004,1.9404917,2.8412988,0.79224163,0.8666172,1.2509762,1.3000737,2.027343
184,202710,Jimmy Butler III,20.76994,5.5276074,5.8128834,0.33435583,1.6257669,1.2423313,1.7392638,6.1871557,2.1478295,2.2749703,0.49679565,1.0942473,0.9039107,1.0984918,2.0290573
185,1631094,Paolo Banchero,22.190872,4.66805,7.2946057,0.58506227,0.8174274,2.045643,2.9087136,5.8518867,1.8475949,2.6871986,0.6281742,0.7251891,1.1176049,1.3657364,2.031912
186,1627749,Dejounte Murray,19.808176,6.8176103,6.418239,0.2672956,1.6509434,1.81761,2.4025156,5.752668,2.4372113,2.1766298,0.43859565,1.0649707,1.0726223,1.2860723,2.0326817
187,1630224,Jalen Green,19.907642,3.3312101,4.219745,0.28980893,0.77388537,1.5286624,2.3535032,7.2960844,1.5667706,1.8580976,0.4044723,0.72086895,1.0992936,1.2842046,2.0328276
188,1628398,Kyle Kuzma,17.039267,3.0680628,6.5968585,0.565445,0.56806284,2.013089,2.3324606,6.1084166,1.7121295,2.6549768,0.62498724,0.62771285,1.211286,1.2951765,2.0335267
